domain,subdomain,source_platform,label,tags,location,department_or_org,declared_industry,file_format,access_policy,created,id
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),"Agricultural Input Outlets and Licensing Records, Vizianagaram, Andhra Pradesh",geospatial; dronagiri; vizianagaram; andhra Pradesh; shops; outlets; agriculture fertilizer; licence; longitude; latitude; validity; agriculture; livelihoods & skilling; land cover and land use; land parcels; constituency_wise; maldal; crops; mandalwise; mandal wise; geographical area; seed shops; fertilizer_licences; insecticide shops; agriculture; livelihoods & skilling,"Vizianagaram, Andhra Pradesh",,,,,2025-09-19T01:57:39+0530,b8fee07f-3317-427c-a5f8-2c7ad32a26c8
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),"Crop Yield Data of Varanasi, Uttar Pradesh",gis; geospatial; gis mapping; spatial; crop; crop yield; rabi; statistics; kharif; farming; food; yield; land cover and land use; agriculture; dronagiri; varanasi,"Varanasi, Uttar Pradesh, India",,,,,2024-12-03T12:00:42+0530,8699e6e9-360d-4eb5-9018-f224f82e3a36
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),"District-wise Agricultural Statistics 2000-24, Washim and Other Districts in Maharashtra",geospatial; land cover; maharashtra; agriculture; cropyeild; mahaag; washim; environment; crop_yeild; land use; dronagiri; irrigation; production; productivity; land_cover; agriculture; livelihoods & skilling,"Maharashtra, India",,,,,2025-05-27T04:38:38+0530,9bfdb3f7-9d2a-4857-a399-479b248fd28d
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),"Hydrogeological Data of Vizianagaram District, Andhra Pradesh",geospatial; dronagiri; vizianagaram; andhra Pradesh; water; types of well; depth; water level; water yield; mandal_wise; agriculture; mandal; well; level; hydrology; geohydrology; geology; rock type; agriculture,"Vizianagaram, Andhra Pradesh",,,,,2025-09-10T04:15:18+0530,f4895b15-eb79-4a38-8c99-d3c4d1409331
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),Krishi Vigyan Kendra (KVK) Centers in India,KVK; Krishi Vigyan Kendra; agriculture; farming; extension services; rural development; farmer support; capacity building; agricultural research; ICAR; farmers; India; training; livelihood and skilling; agro-advisory; agristack; physical infrastructure; buildings and settlements; dronagiri,India,,,,,2025-04-09T09:49:14+0530,0b2485b1-48e2-414f-a14b-0ce92f2bda70
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),"Mandal Wise Crop Area Vizianagaram, Andhra Pradesh",geospatial; dronagiri; vizianagaram; andhra Pradesh; crop; kharif; rabi; crop production; crop yield; agriculture; livelihoods & skilling; environment; land cover and land use; land parcels; constituency_wise; maldal; crops; mandalwise; mandal wise; agriculture; livelihoods & skilling; area,"Vizianagaram, Andhra Pradesh",,,,,2025-08-28T02:15:56+0530,793a3b1e-269e-42c8-968b-43207d4399d7
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),"Mandal Wise Crop Production in Vizianagaram District, Andhra Pradesh",geospatial; dronagiri; vizianagaram; andhra Pradesh; crop; kharif; rabi; crop production; crop yield; agriculture; livelihoods & skilling; environment; land cover and land use; land parcels; agriculture; livelihoods & skilling,"Vizianagaram, Andhra Pradesh",,,,,2025-07-18T11:33:37+0530,22ea097f-6168-43ae-a9c6-3778cd77ccae
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),"MODIS-OLCI Fire Burnt Area, India",geospatial; India; fire; modis; OLCI; fire burnt area; burn area; fire_burn_area; environment; Interdisciplinary Centre for Water Research; ICWaR; agriculture; livelihoods & skilling; agriculture; Academia and research,India,,,,,2025-05-22T12:17:02+0530,97b3ed9e-531a-4486-ad58-47f477675ede
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),Seasonal Farmer Engagement Visits.,Environment; Buildings and Settlements; Land Parcels,India,,,,,2025-08-01T11:48:32+0530,a51835b4-5a5b-4f0f-8a64-72fb4774b526
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),"Utilities (25K), Sonipat, Haryana",survey of india; Transmission line; haryana; sonipat; Soi; communication; surey of india; Utilities; agriculture; transportation and logistics; geospatial; Transport Networks; livelihoods & skilling; Physical Infrastructure; dronagiri,"Sonipat, Haryana",,,,,2025-07-29T01:41:20+0530,052015c6-b490-4dad-aac6-2ccd71927880
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),"Utilities, Varanasi, Uttar Pradesh",urban planning; survey of india; varanasi; smart city; infrastructure; water; livelihoods and skilling; physical infrastructure; planning; Survey of India; soi; geospatial; gis mapping; agriculture; sustainability; dronagiri,"Varanasi, Uttar Pradesh, India",,,,,2025-07-29T01:43:04+0530,42eff984-c160-4bb5-ba33-23032151d2eb
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),Water Sources Data - Varanasi,geospatial; varanasi; uttar pradesh; water sources; hydrology; soi; waterbodies; water_bodies; lakes; dronagiri; waterbody; water_body; agriculture; transportation and logistics; livelihoods & skilling.,"Varanasi, Uttar pradesh, India",,,,,2025-03-25T03:03:17+0530,cf48a9a7-83ed-4834-8c81-12ef824906fe
Agriculture & Allied,Crops & agronomy,Geospatial (DX GeoSpatial),"Water Sources in Sonipat, Haryana",survey of india; gis; haryana; sonipat; livelihoods and financial inclusion; livelihoods and skilling; water; geospatial; gis mapping; agriculture; dronagiri,"Sonipat, Haryana, India",,,,,2025-07-29T01:40:54+0530,bbba4831-5509-4833-8c92-4ab2a1806c52
Agriculture & Allied,Crops & agronomy,Maharashtra (MahaAgX),Accelerated Development Of Long Juvenile Trait In Soybean Under Laterabi Sown Conditions,soybean; breeding; markers; photoperiod; rabi,Maharashtra,Mahatma Phule Krishi Vidyapeeth Rahuri,Agriculture,doc,RESTRICTED,2026-06-10T21:43:23+0530,770b051d-014f-464c-9800-a8122c4a8124
Agriculture & Allied,Crops & agronomy,Maharashtra (MahaAgX),Acknowledgement Certificate for Seed Submission of Desi Cotton Variety Pa 833,cotton; arboreum; nbpgr; registration; germplasm; icar; seeds; vnmkv,Maharashtra,Vasantrao Naik Marathwada Krishi Vidyapeeth Parbhani,Agriculture,pdf,OPEN,2026-02-16T03:34:50+0530,56cdf238-8d22-4630-8e02-959c5fcbb213
Agriculture & Allied,Crops & agronomy,Maharashtra (MahaAgX),"Adoption Status Of The Pesticide As Per The Label Claims (Including Herbicides, Insecticides, And Fungicides) By The Gram Growers In Vidarbha",research; recommendations; agril; extension; study,Maharashtra,Dr. Panjabrao Deshmukh Krishi Vidyapeeth Akola,Agriculture,"doc, xlsx",RESTRICTED,2026-06-09T04:58:43+0530,4d3f1442-236c-42af-9247-f9b9f1a3a22c
Agriculture & Allied,Crops & agronomy,Maharashtra (MahaAgX),Agricultural Yield And Market Price Causality - Research Recommendations 2023,rajma; sheep; banana; pomegranate; onion; tomato; potato,Maharashtra,Mahatma Phule Krishi Vidyapeeth Rahuri,Agriculture,docx,RESTRICTED,2026-06-10T22:45:40+0530,0963a4d8-3dbe-4c98-9e2e-84162d5a3ccd
Agriculture & Allied,Crops & agronomy,Maharashtra (MahaAgX),"Agriculture Crop Area, Production, and Yield by Season for the State of Maharashtra",agriculture; area-production-yield; maharashtra; crop-statistics; historical-data; crop-yield; crop,Maharashtra,Department of Agriculture Government of Maharashtra,Agriculture,JSON,RESTRICTED,2026-07-03T17:01:25+0530,9e803e8e-0de3-440c-af66-6c4d93b42077
Agriculture & Allied,Crops & agronomy,Maharashtra (MahaAgX),Agristack Cooperative Society Branches Registry for Maharashtra,cooperative-society; bank-branch; dccb; maharashtra; rural-banking; agricultural-credit,Maharashtra,"Agristack Ministry of Agriculture and Farmer Welfare, Government of India",Agriculture,JSON,RESTRICTED,2026-02-16T11:46:16+0530,e13a1097-87c7-4ca0-bde5-d07a9f1a74aa
